datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date,fields.gc_obo_date_heure_restitution_c
objets-trouves-restitution,c841014feb8d765a0282d2b31cc077b8e7028c1f,2023-04-06T09:01:33.082Z,0087547000,Articles médicaux,Paris Austerlitz,Médicaments,Objet trouvé,2022-03-16T12:47:52+00:00,2022-03-16T17:56:04+00:00
objets-trouves-restitution,a7ad99fc2e795a0a6a3610bf85ed13521f0e71ed,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Tablette tactile protégée (étui, housse)",Objet trouvé,2022-03-16T12:02:07+00:00,2022-03-16T14:50:33+00:00
objets-trouves-restitution,cd5962474c3ce2700009a5f58f5696506cf4c1fc,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-03-16T11:30:46+00:00,2022-03-16T11:44:27+00:00
objets-trouves-restitution,1f09f9440a9c585bc2729abbc93fde5091cd3e67,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-03-16T11:22:45+00:00,2022-03-16T11:26:02+00:00
objets-trouves-restitution,e90840c1df939242f0b81149121346b30a8fe06e,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-03-15T17:21:34+00:00,2022-03-15T17:24:04+00:00
objets-trouves-restitution,1b435054a06d9730cdad6511e6a44950166e6e9a,2023-04-06T09:01:33.082Z,0087547000,Instruments de musique,Paris Austerlitz,Autres instruments de musique,Objet trouvé,2022-03-15T17:06:36+00:00,2022-03-15T17:09:58+00:00
objets-trouves-restitution,67acc54aa90bebf37ac1d04e35f0edafe7abcc9c,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-03-15T16:58:44+00:00,2023-02-07T19:13:27+00:00
objets-trouves-restitution,6b04d37c18c922b35a4576670c4ef5155077b163,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2022-03-15T10:48:30+00:00,2022-03-15T10:55:41+00:00
objets-trouves-restitution,71636a93685ea29709862a3257fa9e1b0f929b26,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-03-14T11:51:51+00:00,2022-03-14T11:53:07+00:00
objets-trouves-restitution,926409d46e04ae73f0ebdd38ff5c49c5db287add,2023-04-06T09:01:33.082Z,0087547000,"Articles d'enfants, de puériculture",Paris Austerlitz,"Autres articles enfants, bébé",Objet trouvé,2022-03-14T11:36:09+00:00,2022-03-14T11:43:12+00:00
objets-trouves-restitution,fc0be4cb3b8a853831ac25d599eed93628caa184,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-14T11:26:10+00:00,2022-03-14T11:27:37+00:00
objets-trouves-restitution,b029dfdda3da53640d6aea1b941fb15c3668ee93,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2022-03-11T18:33:30+00:00,2022-03-11T18:34:44+00:00
objets-trouves-restitution,d67471c6fe523693046500b5a5ac5b0438061fa2,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-11T17:43:20+00:00,2022-03-11T17:45:25+00:00
objets-trouves-restitution,caedaa71b9e2f2267826615ce9f9327b7a610a43,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-03-09T12:48:06+00:00,2022-03-22T14:13:31+00:00
objets-trouves-restitution,fae775915f8d9a804623e032fb73173b382de8f4,2023-04-06T09:01:33.082Z,0087547000,Divers,Paris Austerlitz,Autres divers,Objet trouvé,2022-03-07T18:09:18+00:00,2022-04-21T11:43:42+00:00
objets-trouves-restitution,a6bd37d7a5d241ddab93f9521a415db972f01fdb,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-03-07T17:47:43+00:00,2023-02-07T19:18:32+00:00
objets-trouves-restitution,a2513a335f9f6d45db5cae0fe493f5871fe84f92,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-03-06T21:35:55+00:00,2022-03-15T10:41:44+00:00
objets-trouves-restitution,48f73177d59f279608c77a71d1a40e5f6c444616,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-03-05T21:05:30+00:00,2022-03-05T21:09:46+00:00
objets-trouves-restitution,20e869c8fef82c1750b80cdd8042bb32ef516245,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-03-05T21:00:15+00:00,2022-03-05T21:03:23+00:00
objets-trouves-restitution,7ffef8a5573e086dd418f1eafb9a7b1ff266e233,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-05T20:29:07+00:00,2022-03-05T20:57:41+00:00
objets-trouves-restitution,7acbfb4a1534b471d9746a4d9194c0b4b4c84cfb,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"AirPod, casque audio, écouteurs",Objet trouvé,2022-03-04T19:47:53+00:00,
objets-trouves-restitution,6751ad1cb0a3d1041766f98c80e915ff16855618,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-03-04T17:54:33+00:00,
objets-trouves-restitution,b2e8849f045afcf2459e04ba1472b52becc8233c,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2022-03-04T07:01:28+00:00,2022-03-04T07:08:22+00:00
objets-trouves-restitution,25196673b07db96625cb4db0c460ecf837ae958d,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-04T06:49:55+00:00,2022-03-04T06:53:51+00:00
objets-trouves-restitution,2c76c07bd67fa664a6248e26165bed6f77e9d941,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-26T18:32:32+00:00,2022-02-26T18:41:34+00:00
objets-trouves-restitution,a8da43ac8657bafb1de293f0e1170fd525313b9c,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-02-25T11:44:20+00:00,2022-02-25T13:37:12+00:00
objets-trouves-restitution,f8ed13f323295b1b23cdc3f9265f66f8f4f63519,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-02-24T12:51:02+00:00,2022-02-24T13:02:22+00:00
objets-trouves-restitution,ea45ee7b575e08d121c3a37ee053c2c64ff5ab6b,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-02-23T17:14:57+00:00,2022-02-23T17:17:51+00:00
objets-trouves-restitution,59d53db921484f6c948433bae76ab2bae238b60a,2023-04-06T09:01:33.082Z,0087547000,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-02-23T17:06:48+00:00,2022-02-23T17:10:53+00:00
objets-trouves-restitution,baf5bc40345797fa8422f5b67a822801454b6494,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-23T16:56:56+00:00,2022-02-23T17:00:28+00:00
objets-trouves-restitution,f8e8af85912ffd8dddaf49769f231bfb78b419c3,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-02-23T14:37:09+00:00,2022-02-23T14:46:11+00:00
