datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date,fields.gc_obo_date_heure_restitution_c
objets-trouves-restitution,0d49cbc937ee5482a8e7f934cfd35b903ce969d6,2023-04-06T09:01:33.082Z,0087686667,Pièces d'identités et papiers personnels,Paris Bercy,Pièce d'identité personnelle et autre,Objet trouvé,2020-06-08T13:00:09+00:00,
objets-trouves-restitution,a15e5ca5c35228d74ccc059b105f3dd0634dedc4,2023-04-06T09:01:33.082Z,0087686667,Pièces d'identités et papiers personnels,Paris Bercy,Pièce d'identité personnelle et autre,Objet trouvé,2020-06-08T12:58:29+00:00,
objets-trouves-restitution,41bd210d8f061091543ebd104c54b3be7e09a4b9,2023-04-06T09:01:33.082Z,0087686667,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2020-06-08T12:10:21+00:00,2020-06-08T12:22:52+00:00
objets-trouves-restitution,b7ed19c2cda029056dfd21a916809e7815228334,2023-04-06T09:01:33.082Z,0087686667,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2020-05-26T09:22:51+00:00,
objets-trouves-restitution,7ab5cc0414fd7a33c0f1560c560f885dd72a9013,2023-04-06T09:01:33.082Z,0087686667,Pièces d'identités et papiers personnels,Paris Bercy,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-05-22T18:16:30+00:00,
objets-trouves-restitution,730639db168fd26a69acd79b9cc46fc8ed2535bd,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-05-20T12:07:21+00:00,
objets-trouves-restitution,2efd472c80a74f7e503f12259cc3c5ce020b2292,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Valise, sac sur roulettes",Objet trouvé,2020-05-20T05:18:04+00:00,2020-05-20T14:21:48+00:00
objets-trouves-restitution,dfed742e2f69f8179d0849f938591033445352e7,2023-04-06T09:01:33.082Z,0087686667,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2020-03-15T20:50:52+00:00,2020-06-09T19:11:31+00:00
objets-trouves-restitution,81196771108505e7930224b4d5f1b489751d71b0,2023-04-06T09:01:33.082Z,0087686667,"Clés, porte-clés, badge magnétique",Paris Bercy,"Clés, porte-clés",Objet trouvé,2020-03-15T18:02:54+00:00,
objets-trouves-restitution,275ca7f65c118a81aeb8138ecfb8b82e9a978904,2023-04-06T09:01:33.082Z,0087686667,Optique,Paris Bercy,Lunettes,Objet trouvé,2020-03-15T18:00:24+00:00,
objets-trouves-restitution,f1ae0e5bc131d0a980f3835237c128b49a4db0de,2023-04-06T09:01:33.082Z,0087686667,Optique,Paris Bercy,Lunettes en étui,Objet trouvé,2020-03-15T17:54:26+00:00,
objets-trouves-restitution,1bf3ac05b05dc28f21f075329f530b0271782670,2023-04-06T09:01:33.082Z,0087686667,"Bijoux, montres",Paris Bercy,Bague,Objet trouvé,2020-03-15T17:49:49+00:00,
objets-trouves-restitution,f8c3337a984c79e2bb5948144bef4f7b83b3492b,2023-04-06T09:01:33.082Z,0087686667,"Bijoux, montres",Paris Bercy,Bracelet,Objet trouvé,2020-03-15T17:47:05+00:00,
objets-trouves-restitution,9faaff9cbd86926ae33611311892b8d90b50cd7e,2023-04-06T09:01:33.082Z,0087686667,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2020-03-15T17:42:01+00:00,
