datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,4d9bff710d17fc0b82a711cbea205b176350fcb3,2023-04-06T09:01:33.082Z,0087547000,,"Livres, articles de papéterie",Paris Austerlitz,Autres articles de papeterie,Objet trouvé,2019-07-10T16:36:43+00:00
objets-trouves-restitution,14dd5d3c212457359a03a540216482188ddead9a,2023-04-06T09:01:33.082Z,0087547000,,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-10T09:23:21+00:00
objets-trouves-restitution,610fbcf5636c1d39980c38d1851b336260de4ea5,2023-04-06T09:01:33.082Z,0087547000,,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-10T09:19:04+00:00
objets-trouves-restitution,c7507414105ca3d0ba2bedcc9a33aaa8f1cd9d3f,2023-04-06T09:01:33.082Z,0087547000,,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-10T09:16:10+00:00
objets-trouves-restitution,9655c52af7e7b3ca73ee54484263cdf0e3ef065a,2023-04-06T09:01:33.082Z,0087547000,,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2019-07-10T07:22:37+00:00
objets-trouves-restitution,bed2e35e8fba06cac682906ed345bf8502bfa8c3,2023-04-06T09:01:33.082Z,0087547000,,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2019-07-10T07:20:44+00:00
objets-trouves-restitution,27168f918759a5e37e05cbaab845102ec0221e15,2023-04-06T09:01:33.082Z,0087547000,,Pièces d'identités et papiers personnels,Paris Austerlitz,Pièce d'identité personnelle et autre,Objet trouvé,2019-07-10T07:16:42+00:00
objets-trouves-restitution,df511713f3040ed95a939512ae5c222d0c426907,2023-04-06T09:01:33.082Z,0087547000,,Pièces d'identités et papiers personnels,Paris Austerlitz,Autre pièce ou papier personnel,Objet trouvé,2019-07-08T15:09:56+00:00
objets-trouves-restitution,4d2df86d50e6d18d03123412fc9657c9fa9e2182,2023-04-06T09:01:33.082Z,0087547000,2019-07-05T18:00:38+00:00,Instruments de musique,Paris Austerlitz,Guitare,Objet trouvé,2019-07-05T17:55:57+00:00
objets-trouves-restitution,1c7df0affe915ea442d6c07a4597f60d1c5fc017,2023-04-06T09:01:33.082Z,0087547000,2023-02-07T18:53:39+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-04T17:02:20+00:00
objets-trouves-restitution,6f9640b3f3cc69f4be68e6be121df9b77f09687f,2023-04-06T09:01:33.082Z,0087547000,2019-07-31T08:45:04+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-07-04T12:32:19+00:00
objets-trouves-restitution,a6bb8fbff27dbdfdc275db593ad7216d0a5530ac,2023-04-06T09:01:33.082Z,0087547000,,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-07-03T14:06:16+00:00
objets-trouves-restitution,029d4cf32def5f2b80d1fcdba3755fde82df76d8,2023-04-06T09:01:33.082Z,0087547000,2019-07-03T13:36:45+00:00,Pièces d'identités et papiers personnels,Paris Austerlitz,Autre pièce ou papier personnel,Objet trouvé,2019-07-03T13:21:52+00:00
objets-trouves-restitution,0d5ecb2b6e8c7642707a570f79623115e3662174,2023-04-06T09:01:33.082Z,0087547000,2019-07-30T06:52:55+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-02T13:15:01+00:00
objets-trouves-restitution,0c1995cfa9efc334afbcb866ad6826501cb5a0f6,2023-04-06T09:01:33.082Z,0087547000,2019-07-01T13:56:13+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2019-07-01T13:50:55+00:00
objets-trouves-restitution,3dea6eef7730f2f6944a5249a3aad95dabe6bf91,2023-04-06T09:01:33.082Z,0087547000,2019-07-01T14:05:12+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-01T13:42:30+00:00
objets-trouves-restitution,850c6826bec7fd89879783cb7cf9aa16a478348b,2023-04-06T09:01:33.082Z,0087547000,2019-07-01T12:52:07+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-01T12:41:15+00:00
objets-trouves-restitution,4ce8540d13e64eb848a5ca3ea5c1987d65722fa4,2023-04-06T09:01:33.082Z,0087547000,2019-06-28T07:15:32+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-06-28T07:02:05+00:00
objets-trouves-restitution,aeb9f658d5387407ae200481a42932dcea383404,2023-04-06T09:01:33.082Z,0087547000,2019-06-27T16:14:37+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2019-06-27T15:47:00+00:00
objets-trouves-restitution,ff8ba5e105758a20e580c8955310bf9efb11ed3b,2023-04-06T09:01:33.082Z,0087547000,2019-06-25T09:37:41+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-06-24T07:24:34+00:00
objets-trouves-restitution,52a825fbb69df29d31c5ab9edb811d4ce813ed13,2023-04-06T09:01:33.082Z,0087547000,2019-06-22T07:45:46+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-06-22T07:38:22+00:00
objets-trouves-restitution,7a4d1704049325d77b0d69446e92c646c6ae3c63,2023-04-06T09:01:33.082Z,0087547000,2019-06-21T13:44:06+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2019-06-21T13:42:25+00:00
objets-trouves-restitution,ccf4e0f30d1d82582f989d3fd185e5d2cc642e79,2023-04-06T09:01:33.082Z,0087547000,2019-06-20T17:10:12+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2019-06-20T17:08:26+00:00
objets-trouves-restitution,7f7c20ac079318af8a41aa9ae23057df5422cd8a,2023-04-06T09:01:33.082Z,0087547000,2019-06-20T14:38:06+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2019-06-20T10:21:53+00:00
objets-trouves-restitution,1b6c1536e430d60080e731d4ac2168c09cfb8d52,2023-04-06T09:01:33.082Z,0087547000,2019-06-20T14:46:40+00:00,Pièces d'identités et papiers personnels,Paris Austerlitz,Pièce d'identité personnelle et autre,Objet trouvé,2019-06-20T09:55:42+00:00
objets-trouves-restitution,d9397f492141ef03a10839e37dee9fa80e79b846,2023-04-06T09:01:33.082Z,0087547000,2019-06-19T17:26:08+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-06-19T17:22:58+00:00
objets-trouves-restitution,9a117f52b85121c3517253f42f5561da19eb6165,2023-04-06T09:01:33.082Z,0087547000,2019-06-20T14:47:49+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-06-18T12:53:28+00:00
